mnmonico Origem;nome do campo;pic de origem;tipo de dado;tipo formato fmbase;tipo de dado generico;decimal;mascara;posição;tamanho;é chave?;vai usar?;tem sinal?;observação sala 1;numero variavel cd5;ordem de saida CD5;nome variavel cd5;formato CD5;Descrição formato origem CD5;formato origem CD5;Valor padrão;observação sala 2
CC01;CCWPAR;X;alfanumerico;AN;texto;0;n/a;1;740;NÃO;NÃO;NÃO;;;;28CCWPAR;1;Character;1;_;
CC01;CCWPAR1;X;alfanumerico;AN;texto;0;n/a;1;70;NÃO;NÃO;NÃO;;;;28CCWPAR1;1;Character;1;_;
CC01;CHMULBCO;X;alfanumerico;AN;texto;0;n/a;1;18;NÃO;NÃO;NÃO;;;;28CHMULBCO;1;Character;1;_;
CC01;GREMPR;X;alfanumerico;AN;texto;0;n/a;1;6;NÃO;NÃO;NÃO;;;;28GREMPR;1;Character;1;_;
CC01;TPEMPRES;XXX;alfanumerico;AN;texto;0;n/a;1;3;SIM;sim;NÃO;;856;1;28TPEMPRES;1;Character;1;_;
CC01;CODBANCO;XXX;alfanumerico;AN;texto;0;n/a;4;3;SIM;sim;NÃO;;857;4;28CODBANCO;1;Character;1;_;
CC01;CODEMPBC;9(6);numerico;ZD;numerico;0;n/a;1;6;NÃO;NÃO;NÃO;;;;28CODEMPBC;2;Numeric;2;0;
CC01;GRAGCTMB;;alfanumerico;AN;texto;0;n/a;7;12;NÃO;NÃO;NÃO;;;;28GRAGCTMB;1;Character;1;_;
CC01;AGENCIA;X(4);alfanumerico;AN;texto;0;n/a;7;4;SIM;sim;NÃO;;858;7;28AGENCIA;1;Character;1;_;
CC01;CONTA;X(7);alfanumerico;AN;texto;0;n/a;11;7;SIM;NÃO;NÃO;;;;28CONTA;1;Character;1;_;
CC01;GCTAMULT;REDEFINES CONTA;alfanumerico;AN;texto;0;n/a;11;7;NÃO;NÃO;NÃO;;;;28GCTAMULT;1;Character;1;_;
CC01;IDCOMPCT;XX;alfanumerico;AN;texto;0;n/a;11;2;NÃO;NÃO;NÃO;;;;28IDCOMPCT;1;Character;1;_;
CC01;CONTAA;X(5);alfanumerico;AN;texto;0;n/a;13;5;NÃO;sim;NÃO;;859;11;28CONTAA;1;Character;1;_;
CC01;DAC10;X;alfanumerico;AN;texto;0;n/a;18;1;SIM;sim;NÃO;;860;16;28DAC10;1;Character;1;_;
CC01;IDNORDEM;X(6);alfanumerico;AN;texto;0;n/a;19;6;NÃO;NÃO;NÃO;;;;28IDNORDEM;1;Character;1;_;
CC01;NMCLI;X(30);alfanumerico;AN;texto;0;n/a;25;30;NÃO;NÃO;NÃO;;;;28NMCLI;1;Character;1;_;
CC01;PES;X;alfanumerico;AN;texto;0;n/a;55;1;NÃO;sim;NÃO;;861;17;28PES;1;Character;1;_;
CC01;FILLER;X(15);alfanumerico;AN;texto;0;n/a;56;15;NÃO;NÃO;NÃO;;;;28FILLER;1;Character;1;_;
CC01;CCWPAR2;;alfanumerico;AN;texto;0;n/a;71;100;NÃO;NÃO;NÃO;;;;28CCWPAR2;1;Character;1;_;
CC01;CDNAC;XX;alfanumerico;AN;texto;0;n/a;71;2;NÃO;NÃO;NÃO;;;;28CDNAC;1;Character;1;_;
CC01;CODSEX;X;alfanumerico;AN;texto;0;n/a;73;1;NÃO;NÃO;NÃO;;;;28CODSEX;1;Character;1;_;
CC01;CDESTCIV;X;alfanumerico;AN;texto;0;n/a;74;1;NÃO;NÃO;NÃO;;;;28CDESTCIV;1;Character;1;_;
CC01;CDPROATI;XXX;alfanumerico;AN;texto;0;n/a;75;3;NÃO;NÃO;NÃO;;;;28CDPROATI;1;Character;1;_;
CC01;ICCLR1;X;alfanumerico;AN;texto;0;n/a;78;1;NÃO;NÃO;NÃO;;;;28ICCLR1;1;Character;1;_;
CC01;SITLEG;X;alfanumerico;AN;texto;0;n/a;79;1;NÃO;sim;NÃO;;862;18;28SITLEG;1;Character;1;_;
CC01;IDDEFVIS;X;alfanumerico;AN;texto;0;n/a;80;1;NÃO;NÃO;NÃO;;;;28IDDEFVIS;1;Character;1;_;
CC01;IDADECLI;S999;compactado;PD;numerico;0;n/a;81;2;NÃO;sim;NÃO;;834;47;28IDADECLI;2;Comp-3;4;0;
CC01;TPDOCIDE;X(5);alfanumerico;AN;texto;0;n/a;83;5;NÃO;NÃO;NÃO;;;;28TPDOCIDE;1;Character;1;_;
CC01;IDDOCIDE;X(20);alfanumerico;AN;texto;0;n/a;88;20;NÃO;NÃO;NÃO;;;;28IDDOCIDE;1;Character;1;_;
CC01;DTDOCEXP;S9(8);compactado;PD;numerico;0;n/a;108;5;NÃO;NÃO;NÃO;;;;28DTDOCEXP;2;Comp-3;4;0;
CC01;IDORGEMI;X(7);alfanumerico;AN;texto;0;n/a;113;7;NÃO;NÃO;NÃO;;;;28IDORGEMI;1;Character;1;_;
CC01;IDESTEMI;XX;alfanumerico;AN;texto;0;n/a;120;2;NÃO;NÃO;NÃO;;;;28IDESTEMI;1;Character;1;_;
CC01;IDNATPJ;S999;compactado;PD;numerico;0;n/a;122;2;NÃO;NÃO;NÃO;;;;28IDNATPJ;2;Comp-3;4;0;
CC01;CDRAMOAT;S9(11);compactado;PD;numerico;0;n/a;124;6;NÃO;NÃO;NÃO;;;;28CDRAMOAT;2;Comp-3;4;0;
CC01;ICCGCINA;X;alfanumerico;AN;texto;0;n/a;130;1;NÃO;NÃO;NÃO;;;;28ICCGCINA;1;Character;1;_;
CC01;IDBIOMET;X;alfanumerico;AN;texto;0;n/a;131;1;NÃO;NÃO;NÃO;;;;28IDBIOMET;1;Character;1;_;
CC01;IDCIC;S9(11);compactado;PD;numerico;0;n/a;132;6;NÃO;NÃO;NÃO;;;;28IDCIC;2;Comp-3;4;0;
CC01;FILLER;X(33);alfanumerico;AN;texto;0;n/a;138;33;NÃO;NÃO;NÃO;;;;28FILLER;1;Character;1;_;
CC01;CCWPAR3;;alfanumerico;AN;texto;0;n/a;171;200;NÃO;NÃO;NÃO;;;;28CCWPAR3;1;Character;1;_;
CC01;DTABCC8;S9(8);compactado;PD;numerico;0;n/a;171;5;NÃO;NÃO;NÃO;;;;28DTABCC8;2;Comp-3;4;0;
CC01;DTULTMVP;S9(8);compactado;PD;numerico;0;n/a;176;5;NÃO;NÃO;NÃO;;;;28DTULTMVP;2;Comp-3;4;0;
CC01;DTINREL;S9(6);compactado;PD;numerico;0;n/a;181;4;NÃO;NÃO;NÃO;;;;28DTINREL;2;Comp-3;4;0;
CC01;IDORABCT;X;alfanumerico;AN;texto;0;n/a;185;1;NÃO;NÃO;NÃO;;;;28IDORABCT;1;Character;1;_;
CC01;CTCC;X;alfanumerico;AN;texto;n/a;n/a;186;1;NÃO;sim;não;;1360;60;28CTCC;1;Character;1;_;
CC01;CATEG;XXX;alfanumerico;AN;texto;0;n/a;187;3;NÃO;sim;NÃO;;837;19;28CATEG;1;Character;1;_;
CC01;CATEGR;999;numerico;ZD;numerico;0;n/a;187;3;NÃO;NÃO;NÃO;;;;28CATEGR;2;Numeric;2;_;
CC01;IDTARBAN;XX;alfanumerico;AN;texto;0;n/a;190;2;NÃO;NÃO;NÃO;;;;28IDTARBAN;1;Character;1;_;
CC01;DTOPMAXI;S9(8);compactado;PD;numerico;0;n/a;192;5;NÃO;NÃO;NÃO;;;;28DTOPMAXI;2;Comp-3;4;0;
CC01;DDCOBTAR;XX;alfanumerico;AN;texto;0;n/a;197;2;NÃO;NÃO;NÃO;;;;28DDCOBTAR;1;Character;1;_;
CC01;IDTIPCTA;X;alfanumerico;AN;texto;0;n/a;199;1;NÃO;sim;NÃO;;864;22;28IDTIPCTA;1;Character;1;_;
CC01;CTATRANS;X;alfanumerico;AN;texto;0;n/a;200;1;NÃO;sim;NÃO;;865;23;28CTATRANS;1;Character;1;_;
CC01;IDCTDEST;S9(18);compactado;PD;numerico;0;n/a;201;10;NÃO;NÃO;NÃO;;;;28IDCTDEST;2;Comp-3;4;0;
CC01;ICPRIVAT;X;alfanumerico;AN;texto;0;n/a;211;1;NÃO;NÃO;NÃO;;;;28ICPRIVAT;1;Character;1;_;
CC01;CODGER;XX;alfanumerico;AN;texto;0;n/a;212;2;NÃO;sim;NÃO;;1106;54;28CODGER;1;Character;1;_;
CC01;MDSEG;X(4);alfanumerico;AN;texto;0;n/a;214;4;NÃO;sim;NÃO;;863;50;28MDSEG;1;Character;1;_;
CC01;PLATSE;X(4);alfanumerico;AN;texto;0;n/a;218;4;NÃO;sim;NÃO;;1107;56;28PLATSE;1;Character;1;_;
CC01;ESTRELA;X;alfanumerico;AN;texto;0;n/a;222;1;NÃO;NÃO;NÃO;;;;28ESTRELA;1;Character;1;_;
CC01;AUTCON;X;alfanumerico;AN;texto;0;n/a;223;1;NÃO;NÃO;NÃO;;;;28AUTCON;1;Character;1;_;
CC01;DTVLEST;S9(8);compactado;PD;numerico;0;n/a;224;5;NÃO;NÃO;NÃO;;;;28DTVLEST;2;Comp-3;4;0;
CC01;IDCLI;X;alfanumerico;AN;texto;0;n/a;229;1;NÃO;NÃO;NÃO;;;;28IDCLI;1;Character;1;_;
CC01;SESTCLI0;S9(11);compactado;PD;numerico;0;n/a;230;6;NÃO;NÃO;NÃO;;;;28SESTCLI0;2;Comp-3;4;0;
CC01;IDCTASAL;X;alfanumerico;AN;texto;0;n/a;236;1;NÃO;NÃO;NÃO;;;;28IDCTASAL;1;Character;1;_;
CC01;IDTIPSPI;XX;alfanumerico;AN;texto;0;n/a;237;2;NÃO;NÃO;NÃO;;;;28IDTIPSPI;1;Character;1;_;
CC01;IDLOTSPI;X(4);alfanumerico;AN;texto;0;n/a;239;4;NÃO;NÃO;NÃO;;;;28IDLOTSPI;1;Character;1;_;
CC01;IDEXSPI;X;alfanumerico;AN;texto;0;n/a;243;1;NÃO;NÃO;NÃO;;;;28IDEXSPI;1;Character;1;_;
CC01;AGCTLIEM;S9(18);compactado;PD;numerico;0;n/a;244;10;NÃO;NÃO;NÃO;;;;28AGCTLIEM;2;Comp-3;4;0;
CC01;CDBENINS;S9(12);compactado;PD;numerico;0;n/a;254;7;NÃO;NÃO;NÃO;;;;28CDBENINS;2;Comp-3;4;0;
CC01;PSTSVLEC;XX;alfanumerico;AN;texto;0;n/a;261;2;NÃO;NÃO;NÃO;;;;28PSTSVLEC;1;Character;1;_;
CC01;ICCTU;X;alfanumerico;AN;texto;0;n/a;263;1;NÃO;NÃO;NÃO;;;;28ICCTU;1;Character;1;_;
CC01;ICPROD1;X;alfanumerico;AN;texto;0;n/a;264;1;NÃO;NÃO;NÃO;;;;28ICPROD1;1;Character;1;_;
CC01;ICPROD2;X;alfanumerico;AN;texto;0;n/a;265;1;NÃO;NÃO;NÃO;;;;28ICPROD2;1;Character;1;_;
CC01;ICPROD3;X;alfanumerico;AN;texto;0;n/a;266;1;NÃO;NÃO;NÃO;;;;28ICPROD3;1;Character;1;_;
CC01;ICPROD4;X;alfanumerico;AN;texto;0;n/a;267;1;NÃO;NÃO;NÃO;;;;28ICPROD4;1;Character;1;_;
CC01;ICPROD5;X;alfanumerico;AN;texto;0;n/a;268;1;NÃO;NÃO;NÃO;;;;28ICPROD5;1;Character;1;_;
CC01;ICPROD6;X;alfanumerico;AN;texto;0;n/a;269;1;NÃO;NÃO;NÃO;;;;28ICPROD6;1;Character;1;_;
CC01;ICPROD7;X;alfanumerico;AN;texto;0;n/a;270;1;NÃO;NÃO;NÃO;;;;28ICPROD7;1;Character;1;_;
CC01;ICPROD8;X;alfanumerico;AN;texto;0;n/a;271;1;NÃO;NÃO;NÃO;;;;28ICPROD8;1;Character;1;_;
CC01;ICRESGCI;X;alfanumerico;AN;texto;0;n/a;272;1;NÃO;NÃO;NÃO;;;;28ICRESGCI;1;Character;1;_;
CC01;INDCTENC;X;alfanumerico;AN;texto;0;n/a;273;1;NÃO;sim;NÃO;;868;27;28INDCTENC;1;Character;1;_;
CC01;IDFASENC;X;alfanumerico;AN;texto;0;n/a;274;1;NÃO;NÃO;NÃO;;;;28IDFASENC;1;Character;1;_;
CC01;DTEFTENC;S9(8);compactado;PD;numerico;0;n/a;275;5;NÃO;NÃO;NÃO;;;;28DTEFTENC;2;Comp-3;4;0;
CC01;IDCTAREC;X;alfanumerico;AN;texto;0;n/a;280;1;NÃO;sim;NÃO;;869;28;28IDCTAREC;1;Character;1;_;
CC01;ICCTBLOQ;X;alfanumerico;AN;texto;0;n/a;281;1;NÃO;sim;NÃO;;870;29;28ICCTBLOQ;1;Character;1;_;
CC01;IDBLQJUD;X;alfanumerico;AN;texto;0;n/a;282;1;NÃO;sim;NÃO;;871;30;28IDBLQJUD;1;Character;1;_;
CC01;IDBLQMOV;X;alfanumerico;AN;texto;0;n/a;283;1;NÃO;sim;NÃO;;872;31;28IDBLQMOV;1;Character;1;_;
CC01;IDFASETI;X;alfanumerico;AN;texto;0;n/a;284;1;NÃO;NÃO;NÃO;;;;28IDFASETI;1;Character;1;_;
CC01;ICCTDESA;X;alfanumerico;AN;texto;0;n/a;285;1;NÃO;sim;NÃO;;873;32;28ICCTDESA;1;Character;1;_;
CC01;DTDESCTA;S9(8);compactado;PD;numerico;0;n/a;286;5;NÃO;NÃO;NÃO;;;;28DTDESCTA;2;Comp-3;4;0;
CC01;ICPSALAR;X;alfanumerico;AN;texto;0;n/a;291;1;NÃO;NÃO;NÃO;;;;28ICPSALAR;1;Character;1;_;
CC01;ICPAUTOM;X;alfanumerico;AN;texto;0;n/a;292;1;NÃO;NÃO;NÃO;;;;28ICPAUTOM;1;Character;1;_;
CC01;IDCONVCX;XX;alfanumerico;AN;texto;0;n/a;293;2;NÃO;NÃO;NÃO;;;;28IDCONVCX;1;Character;1;_;
CC01;ICIOF;X;alfanumerico;AN;texto;0;n/a;295;1;NÃO;NÃO;NÃO;;;;28ICIOF;1;Character;1;_;
CC01;INDISIOF;X;alfanumerico;AN;texto;0;n/a;296;1;NÃO;NÃO;NÃO;;;;28INDISIOF;1;Character;1;_;
CC01;COBSDDEV;X;alfanumerico;AN;texto;0;n/a;297;1;NÃO;NÃO;NÃO;;;;28COBSDDEV;1;Character;1;_;
CC01;IDGRPCLI;X;alfanumerico;AN;texto;0;n/a;298;1;NÃO;NÃO;NÃO;;;;28IDGRPCLI;1;Character;1;_;
CC01;IDGRPCTA;X;alfanumerico;AN;texto;0;n/a;299;1;NÃO;NÃO;NÃO;;;;28IDGRPCTA;1;Character;1;_;
CC01;STATEMIS;X;alfanumerico;AN;texto;0;n/a;300;1;NÃO;NÃO;NÃO;;;;28STATEMIS;1;Character;1;_;
CC01;ICBLEACH;X;alfanumerico;AN;texto;0;n/a;301;1;NÃO;NÃO;NÃO;;;;28ICBLEACH;1;Character;1;_;
CC01;STEMICH;X;alfanumerico;AN;texto;0;n/a;302;1;NÃO;NÃO;NÃO;;;;28STEMICH;1;Character;1;_;
CC01;CLICL;X;alfanumerico;AN;texto;n/a;n/a;303;1;NÃO;sim;não;;1361;61;28CLICL;1;Character;1;_;
CC01;DTTRACL;S9(8);compactado;PD;numerico;0;n/a;304;5;NÃO;NÃO;NÃO;;;;28DTTRACL;2;Comp-3;4;0;
CC01;OCORRY;X;alfanumerico;AN;texto;0;n/a;309;1;NÃO;NÃO;NÃO;;;;28OCORRY;1;Character;1;_;
CC01;ENTRCART;X;alfanumerico;AN;texto;0;n/a;310;1;NÃO;NÃO;NÃO;;;;28ENTRCART;1;Character;1;_;
CC01;ENTRCHQ;X;alfanumerico;AN;texto;0;n/a;311;1;NÃO;NÃO;NÃO;;;;28ENTRCHQ;1;Character;1;_;
CC01;CLASSCRE;XXX;alfanumerico;AN;texto;0;n/a;312;3;NÃO;NÃO;NÃO;;;;28CLASSCRE;1;Character;1;_;
CC01;IDLIMINA;X;alfanumerico;AN;texto;0;n/a;315;1;NÃO;NÃO;NÃO;;;;28IDLIMINA;1;Character;1;_;
CC01;INDCLSPO;X;alfanumerico;AN;texto;0;n/a;316;1;NÃO;NÃO;NÃO;;;;28INDCLSPO;1;Character;1;_;
CC01;DTCLISPO;S9(8);compactado;PD;numerico;0;n/a;317;5;NÃO;NÃO;NÃO;;;;28DTCLISPO;2;Comp-3;4;0;
CC01;IDNCLPRI;X;alfanumerico;AN;texto;0;n/a;322;1;NÃO;NÃO;NÃO;;;;28IDNCLPRI;1;Character;1;_;
CC01;FILLER;X(48);alfanumerico;AN;texto;0;n/a;323;48;NÃO;NÃO;NÃO;;;;28FILLER;1;Character;1;_;
CC01;CCWPAR4;;alfanumerico;AN;texto;0;n/a;371;50;NÃO;NÃO;NÃO;;;;28CCWPAR4;1;Character;1;_;
CC01;DDDCLI1;S9(4);compactado;PD;numerico;0;n/a;371;3;NÃO;NÃO;NÃO;;;;28DDDCLI1;2;Comp-3;4;0;
